AllTrace,,,
EMI:FSCAN,,,
A.30.11,N9038B,,
34379909.69,40.43756076,40.43756076,29.64934512
34439908.46,40.49775668,40.49775668,30.22824832
34499907.22,40.16076633,40.16076633,29.94612857
34559905.98,40.58810397,40.58810397,29.64963504
34619904.74,40.52548953,40.52548953,29.57395908
34679903.51,40.32829257,40.32829257,30.31094333
34739902.27,40.3140256,40.3140256,29.60159274
34799901.03,41.10458347,41.10458347,30.01716586
34859899.8,41.06940433,41.06940433,30.16751834
34919898.56,40.23591586,40.23591586,30.63013431
34979897.32,39.40505191,39.40505191,29.49876376
35039896.08,39.00011417,39.00011417,29.41915103
35099894.85,39.13217899,39.13217899,28.73331424
35159893.61,39.13749667,39.13749667,29.44548007
35219892.37,38.40722629,38.40722629,29.4560239
35279891.14,37.93043491,37.93043491,28.4004285
35339889.9,37.83383914,37.83383914,28.36132785
35399888.66,38.22067996,38.22067996,29.24335452
35459887.43,37.54398319,37.54398319,28.96122714
35519886.19,37.92429324,37.92429324,29.03057834
35579884.95,38.1020734,38.1020734,29.54153415
35639883.71,37.96237155,37.96237155,28.38011142
35699882.48,36.58144351,36.58144351,27.56230136
35759881.24,36.25359317,36.25359317,26.94440433
35819880,36.2523801,36.2523801,27.90742465
35879878.77,35.21115848,35.21115848,27.50641605
35939877.53,35.16291019,35.16291019,26.66508456
35999876.29,35.19959995,35.19959995,27.69605991
36059875.05,35.02823612,35.02823612,27.50770541
36119873.82,34.30678531,34.30678531,28.36719486
36179872.58,34.3940961,34.3940961,26.6566846
36239871.34,33.98360416,33.98360416,26.54800388
36299870.11,34.88619968,34.88619968,27.28205844
36359868.87,33.8489072,33.8489072,26.90065738
36419867.63,33.84772464,33.84772464,26.18217441
36479866.39,33.32913181,33.32913181,25.74981662
36539865.16,33.80613681,33.80613681,27.44191715
36599863.92,33.68213626,33.68213626,27.37409946
36659862.68,33.71360751,33.71360751,26.01277896
36719861.45,33.47201511,33.47201511,26.21541568
36779860.21,33.31142398,33.31142398,27.85395023
36839858.97,32.96137973,32.96137973,27.42550632
36899857.73,32.3918378,32.3918378,25.88520023
36959856.5,32.93156406,32.93156406,26.11004611
37019855.26,33.00353214,33.00353214,26.05136081
37079854.02,33.64125034,33.64125034,26.10112735
37139852.79,32.10485812,32.10485812,24.59609195
37199851.55,32.47080966,32.47080966,25.50426456
37259850.31,32.27102634,32.27102634,26.39283725
37319849.08,32.25807163,32.25807163,26.32892581
37379847.84,32.37055179,32.37055179,25.17797824
37439846.6,31.56060001,31.56060001,25.97900363
37499845.36,32.06896945,32.06896945,25.9908826
37559844.13,31.47721835,31.47721835,25.7545087
37619842.89,29.94996616,29.94996616,25.92839786
37679841.65,31.20046207,31.20046207,24.10979434
37739840.42,31.28419467,31.28419467,25.11072513
37799839.18,29.21604129,29.21604129,24.88220187
37859837.94,30.08762332,30.08762332,24.66281101
37919836.7,29.32078525,29.32078525,24.94122287
37979835.47,29.12622806,29.12622806,25.2026517
38039834.23,29.40189334,29.40189334,25.53449222
38099832.99,28.90860721,28.90860721,25.85649844
38159831.76,29.33382388,29.33382388,24.55967685
38219830.52,29.83090945,29.83090945,24.46619388
38279829.28,27.85337039,27.85337039,24.06175205
38339828.04,28.40794345,28.40794345,23.63379642
38399826.81,28.42551395,28.42551395,24.17398807
38459825.57,28.52278873,28.52278873,24.26081058
38519824.33,27.30828067,27.30828067,24.27446719
38579823.1,27.57279941,27.57279941,24.50369998
38639821.86,27.36302921,27.36302921,25.23464938
38699820.62,27.47729465,27.47729465,24.81453677
38759819.39,26.86379977,26.86379977,24.34084293
38819818.15,26.60961124,26.60961124,27.72410556
38879816.91,26.74607822,26.74607822,26.382858
38939815.67,27.03411075,27.03411075,25.38915988
38999814.44,26.88836643,26.88836643,25.6079404
39059813.2,26.2722623,26.2722623,24.30850955
39119811.96,25.86521121,25.86521121,24.38096591
39179810.73,25.47644016,25.47644016,24.39853641
39239809.49,25.54367038,25.54367038,24.55329868
39299808.25,26.8429639,26.8429639,24.66233035
39359807.01,26.67240115,26.67240115,23.58240482
39419805.78,26.36986514,26.36986514,23.54771396
39479804.54,26.39789554,26.39789554,23.23603793
39539803.3,26.36059543,26.36059543,23.6573331
39599802.07,25.41001865,25.41001865,23.51290103
39659800.83,27.23324558,27.23324558,23.32664462
39719799.59,28.01123782,28.01123782,23.13125583
39779798.35,27.02275821,27.02275821,23.65576907
39839797.12,26.75812503,26.75812503,23.59495517
39899795.88,26.83187839,26.83187839,23.9065015
39959794.64,26.67616245,26.67616245,23.3549039
40019793.41,27.32447788,27.32447788,22.96581241
40079792.17,27.28816196,27.28816196,22.78446933
40139790.93,27.86722537,27.86722537,23.76726505
40199789.7,27.87010165,27.87010165,23.73485538
40259788.46,28.70525333,28.70525333,24.21593448
40319787.22,28.92763492,28.92763492,24.0084531
40379785.98,28.72276279,28.72276279,23.64549228
40439784.75,30.36666843,30.36666843,23.6914899
40499783.51,29.44451114,29.44451114,22.7000806
40559782.27,28.61771365,28.61771365,23.12365695
40619781.04,30.16102573,30.16102573,23.386543
40679779.8,30.02540561,30.02540561,23.21695682
40739778.56,28.94122287,28.94122287,23.14273807
40799777.32,28.613548,28.613548,23.08682224
40859776.09,28.54064151,28.54064151,23.16155978
40919774.85,29.35619327,29.35619327,22.91487857
40979773.61,28.73845645,28.73845645,23.4586713
41039772.38,29.53250858,29.53250858,23.32898685
41099771.14,29.02166721,29.02166721,22.68357822
41159769.9,28.1240842,28.1240842,22.89133426
41219768.66,28.14240237,28.14240237,23.77851077
41279767.43,27.84844943,27.84844943,23.02204105
41339766.19,27.26835605,27.26835605,22.28385898
41399764.95,27.63552829,27.63552829,22.58046695
41459763.72,26.7732236,26.7732236,24.33127567
41519762.48,27.06460544,27.06460544,22.11407443
41579761.24,26.26370975,26.26370975,23.58396884
41639760,26.02725192,26.02725192,23.69113132
41699758.77,26.30295535,26.30295535,22.7125394
41759757.53,26.2324216,26.2324216,21.66210147
41819756.29,26.97849246,26.97849246,21.98353549
41879755.06,25.95286533,25.95286533,22.02536746
41939753.82,25.96465274,25.96465274,21.29502841
41999752.58,26.48990604,26.48990604,20.6587598
42059751.35,24.4730527,24.4730527,22.51975223
42119750.11,24.84059879,24.84059879,21.92567416
42179748.87,24.60842868,24.60842868,22.04627963
42239747.63,26.11528751,26.11528751,22.27401706
42299746.4,26.00332614,26.00332614,22.00657626
42359745.16,24.93888828,24.93888828,21.87240573
42419743.92,25.56251498,25.56251498,21.75129672
42479742.69,25.49627658,25.49627658,21.47993442
42539741.45,24.48018619,24.48018619,21.79391452
42599740.21,26.42865726,26.42865726,21.77993747
42659738.97,25.07285281,25.07285281,20.54303714
42719737.74,24.15083286,24.15083286,20.75248691
42779736.5,24.35767337,24.35767337,21.97190067
42839735.26,23.55454227,23.55454227,20.7572095
42899734.03,23.8855054,23.8855054,21.33903476
42959732.79,23.91072818,23.91072818,21.13822147
43019731.55,23.83012363,23.83012363,20.34423801
43079730.31,23.64499637,23.64499637,20.29107639
43139729.08,23.07704898,23.07704898,20.80233737
43199727.84,23.26820346,23.26820346,20.17559024
43259726.6,24.14138004,24.14138004,20.68946811
43319725.37,23.73152896,23.73152896,19.41989871
43379724.13,24.49234744,24.49234744,19.55226108
43439722.89,24.58420535,24.58420535,19.48863956
43499721.66,23.88821384,23.88821384,21.43581363
43559720.42,23.75142642,23.75142642,21.15399905
43619719.18,24.21826907,24.21826907,20.16271945
43679717.94,24.12329837,24.12329837,20.86344119
43739716.71,24.59797641,24.59797641,20.8390195
43799715.47,25.08833286,25.08833286,19.1761777
43859714.23,24.07485172,24.07485172,19.6639249
43919713,23.50428745,23.50428745,20.15035983
43979711.76,23.75428745,23.75428745,19.04677554
44039710.52,24.96318027,24.96318027,19.35414859
44099709.28,24.06073734,24.06073734,20.76299258
44159708.05,24.45439121,24.45439121,19.66325351
44219706.81,23.94129154,23.94129154,19.0508649
44279705.57,24.87062808,24.87062808,20.62955447
44339704.34,25.52951785,25.52951785,20.42481204
44399703.1,23.90062686,23.90062686,18.61430331
44459701.86,24.03035709,24.03035709,19.65339633
44519700.62,24.33384677,24.33384677,19.75307437
44579699.39,24.34599277,24.34599277,19.36279269
44639698.15,24.4535062,24.4535062,20.16931888
44699696.91,25.08886691,25.08886691,20.08607456
44759695.68,24.48039981,24.48039981,18.73678561
44819694.44,24.68721744,24.68721744,18.73324558
44879693.2,24.3674924,24.3674924,18.48538181
44939691.97,24.49068424,24.49068424,19.25923892
44999690.73,25.36515018,25.36515018,19.19560214
45059689.49,26.53097507,26.53097507,18.63808414
45119688.25,25.5475156,25.5475156,18.72861453
45179687.02,25.4917142,25.4917142,18.56436893
45239685.78,25.93240329,25.93240329,18.91490909
45299684.54,26.06735965,26.06735965,18.15487643
45359683.31,24.82912418,24.82912418,19.38732883
45419682.07,25.92570468,25.92570468,19.23876163
45479680.83,25.77060672,25.77060672,18.86677524
45539679.59,26.18778201,26.18778201,17.83628818
45599678.36,25.99347659,25.99347659,18.59315463
45659677.12,26.20944186,26.20944186,19.22982761
45719675.88,26.46590396,26.46590396,19.35302707
45779674.65,25.96064731,25.96064731,18.83731052
45839673.41,26.27459689,26.27459689,18.90563937
45899672.17,26.95177432,26.95177432,18.84591647
45959670.93,26.51576968,26.51576968,19.72560855
46019669.7,26.64772006,26.64772006,19.98690768
46079668.46,26.43784305,26.43784305,19.7548215
46139667.22,27.40257236,27.40257236,18.47750064
46199665.99,27.26847812,27.26847812,18.97055789
46259664.75,26.88745853,26.88745853,18.56079074
46319663.51,27.4432294,27.4432294,17.8792493
46379662.28,26.11363956,26.11363956,18.90799686
46439661.04,26.89806339,26.89806339,18.66284915
46499659.8,27.32579013,27.32579013,18.61760684
46559658.56,28.18598911,28.18598911,18.38422366
46619657.33,27.11509677,27.11509677,18.40822574
46679656.09,28.11902591,28.11902591,18.31986972
46739654.85,28.09729739,28.09729739,18.79463168
46799653.62,28.54854556,28.54854556,18.10787174
46859652.38,27.59786197,27.59786197,19.36003848
46919651.14,27.57743808,27.57743808,19.44675418
46979649.9,27.81571933,27.81571933,19.31266757
47039648.67,28.41852542,28.41852542,18.54359409
47099647.43,28.67510196,28.67510196,17.85683414
47159646.19,28.18693515,28.18693515,18.06897708
47219644.96,27.81766483,27.81766483,19.18918582
47279643.72,28.4348447,28.4348447,18.57689639
47339642.48,28.76719638,28.76719638,18.33306094
47399641.24,29.36739322,29.36739322,18.67847415
47459640.01,29.52988406,29.52988406,19.47072574
47519638.77,29.52906772,29.52906772,19.59403964
47579637.53,29.11537906,29.11537906,18.90727206
47639636.3,30.29307529,30.29307529,18.77318546
47699635.06,30.42943546,30.42943546,18.275871
47759633.82,30.58671542,30.58671542,19.25235721
47819632.58,30.57936069,30.57936069,18.22589084
47879631.35,30.47140476,30.47140476,19.17886325
47939630.11,31.41130039,31.41130039,19.12838718
47999628.87,31.44313785,31.44313785,19.22685977
48059627.64,30.71040317,30.71040317,19.36167117
48119626.4,31.17574283,31.17574283,19.7211835
48179625.16,31.82530185,31.82530185,19.01454135
48239623.93,32.13777896,32.13777896,20.30824252
48299622.69,32.15366336,32.15366336,19.82241031
48359621.45,31.26712009,31.26712009,20.36784335
48419620.21,32.36477634,32.36477634,20.24910709
48479618.98,32.32311221,32.32311221,19.36994144
48539617.74,31.82677432,31.82677432,19.17149326
48599616.5,33.36473056,33.36473056,20.65718814
48659615.27,32.70899936,32.70899936,19.76366397
48719614.03,33.77660342,33.77660342,21.42705508
48779612.79,34.08901187,34.08901187,19.71823093
48839611.55,33.40975162,33.40975162,19.36952945
48899610.32,33.12768527,33.12768527,19.32263919
48959609.08,34.23710605,34.23710605,20.07275363
49019607.84,34.22679874,34.22679874,19.53460666
49079606.61,33.94081088,33.94081088,19.85224124
49139605.37,33.80507633,33.80507633,19.96997806
49199604.13,34.06654331,34.06654331,20.84160587
49259602.89,34.65594455,34.65594455,20.30737277
49319601.66,35.1447446,35.1447446,20.11545535
49379600.42,34.23683902,34.23683902,19.19187137
49439599.18,34.58453342,34.58453342,20.01253482
49499597.95,34.61342593,34.61342593,20.46606418
49559596.71,34.5900571,34.5900571,20.93003818
49619595.47,34.47000095,34.47000095,20.13057681
49679594.24,33.71627017,33.71627017,19.29583713
49739593,34.43241855,34.43241855,18.77598544
49799591.76,34.40643283,34.40643283,19.29875156
49859590.52,33.34173557,33.34173557,19.62553378
49919589.29,33.54832431,33.54832431,18.63401004
49979588.05,33.9926984,33.9926984,19.06401035
50039586.81,33.0058591,33.0058591,18.77487918
50099585.58,33.34246036,33.34246036,19.24474307
50159584.34,33.18124362,33.18124362,18.92151614
50219583.1,32.313194,32.313194,18.76946231
50279581.86,33.20114871,33.20114871,17.95104953
50339580.63,32.86225101,32.86225101,19.96787235
50399579.39,32.24244663,32.24244663,18.50141879
50459578.15,32.56336185,32.56336185,20.17723056
50519576.92,32.24143955,32.24143955,19.6096799
50579575.68,32.07109042,32.07109042,17.4860303
50639574.44,31.94646426,31.94646426,18.07478305
50699573.2,31.52264377,31.52264377,17.87438175
50759571.97,31.6096799,31.6096799,16.86391422
50819570.73,31.22113773,31.22113773,17.77146884
50879569.49,31.18535587,31.18535587,18.4190137
50939568.26,30.27810642,30.27810642,18.38063022
50999567.02,30.04242679,30.04242679,17.15718814
51059565.78,30.18826267,30.18826267,17.0129697
51119564.55,29.84674808,29.84674808,17.42795535
51179563.31,29.35367557,29.35367557,16.90744754
51239562.07,30.07047244,30.07047244,16.86513492
51299560.83,29.9536893,29.9536893,16.53408023
51359559.6,29.74936649,29.74936649,17.05096408
51419558.36,28.825134,28.825134,16.85710117
51479557.12,29.18000766,29.18000766,16.38754245
51539555.89,29.1429288,29.1429288,15.31567355
51599554.65,29.3135831,29.3135831,14.77425357
51659553.41,29.80565616,29.80565616,15.68442508
51719552.17,28.08311435,28.08311435,15.78974887
51779550.94,27.42150089,27.42150089,15.95518466
51839549.7,27.36873599,27.36873599,15.89457675
51899548.46,27.10562106,27.10562106,15.88494083
51959547.23,27.1312482,27.1312482,14.92019626
52019545.99,27.63377353,27.63377353,15.64875766
52079544.75,27.12632724,27.12632724,15.48101016
52139543.51,26.92984744,26.92984744,14.70834323
52199542.28,26.88622257,26.88622257,16.15158054
52259541.04,25.92540714,25.92540714,16.10927554
52319539.8,26.510246,26.510246,17.01420566
52379538.57,26.24059268,26.24059268,16.63220187
52439537.33,24.92569705,24.92569705,15.52896091
52499536.09,25.3864133,25.3864133,15.11559268
52559534.85,25.35977908,25.35977908,14.56633731
52619533.62,25.31485721,25.31485721,15.93511173
52679532.38,24.61273166,24.61273166,14.45427676
52739531.14,24.41233798,24.41233798,14.23297092
52799529.91,24.49675723,24.49675723,15.54425021
52859528.67,25.00973483,25.00973483,15.52023288
52919527.43,24.23574802,24.23574802,14.48754855
52979526.2,23.66297122,23.66297122,15.12464877
53039524.96,24.21907016,24.21907016,14.53097507
53099523.72,23.45423099,23.45423099,14.31227084
53159522.48,23.86939212,23.86939212,14.29104587
53219521.25,23.39051791,23.39051791,14.70977756
53279520.01,22.59415408,22.59415408,14.91292545
53339518.77,22.36221286,22.36221286,14.39484378
53399517.54,23.32315799,23.32315799,14.4712598
53459516.3,23.28197452,23.28197452,14.67178317
53519515.06,21.79313632,21.79313632,14.95333072
53579513.82,21.83296176,21.83296176,13.96751376
53639512.59,21.78916904,21.78916904,13.84532138
53699511.35,22.72006198,22.72006198,13.92304202
53759510.11,22.31826755,22.31826755,13.59441348
53819508.88,22.66775485,22.66775485,14.48349735
53879507.64,22.74155399,22.74155399,15.70445224
53939506.4,21.20567294,21.20567294,14.51088687
53999505.16,21.45976993,21.45976993,13.78899356
54059503.93,21.33366367,21.33366367,14.41545841
54119502.69,20.85348483,20.85348483,14.06854984
54179501.45,20.38244602,20.38244602,14.57220432
54239500.22,20.00286838,20.00286838,13.62818881
54299498.98,20.42943546,20.42943546,13.46289035
54359497.74,20.38955661,20.38955661,13.97045871
54419496.51,19.64936801,19.64936801,13.63922092
54479495.27,19.95312473,19.95312473,13.97041293
54539494.03,20.08962985,20.08962985,14.37345859
54599492.79,19.85639163,19.85639163,14.31921359
54659491.56,20.5233533,20.5233533,13.80374881
54719490.32,19.47482272,19.47482272,13.59533664
54779489.08,19.62702152,19.62702152,13.72662326
54839487.85,20.16725131,20.16725131,14.52815982
54899486.61,19.18273898,19.18273898,14.50788852
54959485.37,19.13240787,19.13240787,13.14055606
55019484.13,19.99925967,19.99925967,14.04660007
55079482.9,19.8702695,19.8702695,14.3148038
55139481.66,19.48258945,19.48258945,14.2563779
55199480.42,19.66847965,19.66847965,13.3173215
55259479.19,19.25989505,19.25989505,14.8045499
55319477.95,20.40741702,20.40741702,14.24832889
55379476.71,20.65210696,20.65210696,13.57973453
55439475.47,19.64120456,19.64120456,13.79829379
55499474.24,19.4664838,19.4664838,15.56903812
55559473,20.67280551,20.67280551,15.57070895
55619471.76,20.52683994,20.52683994,15.18695041
55679470.53,20.6696088,20.6696088,15.29314395
55739469.29,21.09983798,21.09983798,15.33793613
55799468.05,20.88201114,20.88201114,15.46765109
55859466.82,21.09925815,21.09925815,15.63133212
55919465.58,21.11399814,21.11399814,16.42216464
55979464.34,21.10520908,21.10520908,16.69428989
56039463.1,21.42829868,21.42829868,16.70118686
56099461.87,20.59116336,20.59116336,16.40496799
56159460.63,20.7587659,20.7587659,17.30423709
56219459.39,21.20336124,21.20336124,18.24663516
56279458.16,21.13447543,21.13447543,18.11241885
56339456.92,21.1139371,21.1139371,17.85800906
56399455.68,22.18437167,22.18437167,18.28562137
56459454.44,22.18473789,22.18473789,18.47020694
56519453.21,21.41293308,21.41293308,19.52757236
56579451.97,22.1305997,22.1305997,19.00923892
56639450.73,23.45580264,23.45580264,18.92859622
56699449.5,21.95624515,21.95624515,18.46121951
56759448.26,22.08334323,22.08334323,20.17577335
56819447.02,22.30321475,22.30321475,20.51454135
56879445.78,23.54480716,23.54480716,19.99490329
56939444.55,23.2812421,23.2812421,19.9077222
56999443.31,22.56562015,22.56562015,20.23472568
57059442.07,22.51241275,22.51241275,20.17106601
57119440.84,23.11248752,23.11248752,20.32691928
57179439.6,23.21999332,23.21999332,20.76497623
57239438.36,22.88195773,22.88195773,21.42776462
57299437.13,23.1998212,23.1998212,21.37325259
57359435.89,22.99505588,22.99505588,21.61402866
57419434.65,22.9888837,22.9888837,21.73720523
57479433.41,24.4421384,24.4421384,21.6892316
57539432.18,24.31706973,24.31706973,22.4068906
57599430.94,24.26518222,24.26518222,22.41117831
57659429.7,23.71940585,23.71940585,22.50823184
57719428.47,23.73545047,23.73545047,23.42187473
57779427.23,24.71442386,24.71442386,23.66003391
57839425.99,25.23348972,25.23348972,22.91304752
57899424.75,25.10320255,25.10320255,23.94297763
57959423.52,24.41892978,24.41892978,23.94334384
58019422.28,24.54602786,24.54602786,23.80782291
58079421.04,24.32036563,24.32036563,23.88658878
58139419.81,26.08588382,26.08588382,24.50364658
58199418.57,25.60804721,25.60804721,24.76531955
58259417.33,25.22167941,25.22167941,25.02177402
58319416.09,24.75428745,24.75428745,24.19508334
58379414.86,24.68933078,24.68933078,25.03817722
58439413.62,25.74278232,25.74278232,25.00327274
58499412.38,25.80578586,25.80578586,25.23090335
58559411.15,25.91972324,25.91972324,25.71328708
58619409.91,26.35244724,26.35244724,25.30720493
58679408.67,26.09401675,26.09401675,25.25781986
58739407.43,26.05638858,26.05638858,25.98713657
58799406.2,25.95473453,25.95473453,25.99784824
58859404.96,26.34565707,26.34565707,25.81388828
58919403.72,26.93386813,26.93386813,25.82459995
58979402.49,26.83613559,26.83613559,26.1920087
59039401.25,26.45357486,26.45357486,26.31899997
59099400.01,27.07706424,27.07706424,26.95816776
59159398.78,26.36656162,26.36656162,26.46193668
59219397.54,26.87768527,26.87768527,26.36813327
59279396.3,27.01120731,27.01120731,26.41934177
59339395.06,28.29189273,28.29189273,26.79980441
59399393.83,28.39929172,28.39929172,26.17423221
59459392.59,26.93751498,26.93751498,26.04383823
59519391.35,27.63417026,27.63417026,26.81888553
59579390.12,27.92579623,27.92579623,26.84658023
59639388.88,27.77972385,27.77972385,26.80764743
59699387.64,27.76038333,27.76038333,26.31011173
59759386.4,27.64436313,27.64436313,26.4475629
59819385.17,27.72432681,27.72432681,26.47656986
59879383.93,28.15836307,28.15836307,26.59180423
59939382.69,28.20174381,28.20174381,26.4365842
59999381.46,28.31305667,28.31305667,26.31925937
60059380.22,28.75053378,28.75053378,26.40657779
60119378.98,28.41207858,28.41207858,26.84159824
60179377.74,28.54790469,28.54790469,26.53973361
60239376.51,28.42372867,28.42372867,26.26660892
60299375.27,28.65231296,28.65231296,26.17378207
60359374.03,28.83517429,28.83517429,26.51995822
60419372.8,27.98585483,27.98585483,26.489845
60479371.56,28.42871829,28.42871829,26.760246
60539370.32,29.19168826,29.19168826,26.9483411
60599369.09,29.2399747,29.2399747,26.99531528
60659367.85,28.68855258,28.68855258,26.7195737
60719366.61,28.79563113,28.79563113,26.89459201
60779365.37,28.86743137,28.86743137,26.46467563
60839364.14,28.4688718,28.4688718,27.50724765
60899362.9,28.26107761,28.26107761,28.31203433
60959361.66,28.26363345,28.26363345,28.00231906
61019360.43,29.21735355,29.21735355,28.23613712
61079359.19,28.52351352,28.52351352,27.83757755
61139357.95,28.52999088,28.52999088,27.08625003
61199356.71,28.56912967,28.56912967,27.36709567
61259355.48,28.6396329,28.6396329,28.23067447
61319354.24,28.66047641,28.66047641,28.35082217
61379353,27.99929782,27.99929782,28.01628085
61439351.77,28.5231702,28.5231702,28.35201236
61499350.53,28.94120761,28.94120761,28.17948886
61559349.29,28.93722507,28.93722507,28.08666202
61619348.05,28.92280551,28.92280551,28.75948306
61679346.82,28.64575168,28.64575168,28.60655948
61739345.58,28.59996768,28.59996768,28.4039838
61799344.34,28.64433261,28.64433261,28.95529147
61859343.11,28.74618503,28.74618503,28.71351596
61919341.87,28.39858218,28.39858218,29.03617831
61979340.63,29.2752225,29.2752225,28.95381137
62039339.4,29.35878726,29.35878726,29.48813602
62099338.16,29.06867191,29.06867191,29.54033633
62159336.92,28.97323581,28.97323581,28.52246829
62219335.68,29.00975772,29.00975772,28.62301608
62279334.45,29.27362033,29.27362033,28.79803439
62339333.21,29.49045535,29.49045535,28.78752872
62399331.97,29.49693271,29.49693271,28.56797
62459330.74,30.05607578,30.05607578,28.81484958
62519329.5,30.02857944,30.02857944,28.56131717
62579328.26,29.44840976,29.44840976,28.65141269
62639327.02,30.09248325,30.09248325,28.85256168
62699325.79,30.35765811,30.35765811,28.9191434
62759324.55,30.36413547,30.36413547,28.03063175
62819323.31,29.70818301,29.70818301,28.56494876
62879322.08,30.23858615,30.23858615,28.59493991
62939320.84,30.30516025,30.30516025,28.60402652
62999319.6,29.89092227,29.89092227,29.12397739
63059318.36,30.20183536,30.20183536,28.6117551
63119317.13,29.70920535,29.70920535,28.57250186
63179315.89,30.2330701,30.2330701,28.93566104
63239314.65,30.17029544,30.17029544,28.93560764
63299313.42,30.12189456,30.12189456,28.89112064
63359312.18,30.16625949,30.16625949,28.25868961
63419310.94,29.8199689,29.8199689,28.77734348
63479309.7,30.35429355,30.35429355,28.26641818
63539308.47,29.91000339,29.91000339,28.445358
63599307.23,29.92954227,29.92954227,28.13172885
63659305.99,30.17250034,30.17250034,28.04543277
63719304.76,30.36190006,30.36190006,27.79322025
63779303.52,30.38536044,30.38536044,28.13024875
63839302.28,30.23896762,30.23896762,28.06877872
63899301.05,30.26242801,30.26242801,27.99163791
63959299.81,30.03110477,30.03110477,28.21107456
64019298.57,29.67174503,29.67174503,27.85824558
64079297.33,29.1542966,29.1542966,26.94230624
64139296.1,29.07715579,29.07715579,27.27803012
64199294.86,29.2521741,29.2521741,27.61636325
64259293.62,29.5081937,29.5081937,27.11328098
64319292.39,29.66737338,29.66737338,26.3408887
